organism,organ,assay,cell_type_counts
Homo sapiens,Brodmann (1909) area 4,10x 3' v2,"{""astrocyte"": 25221, ""endothelial cell of vascular tree"": 2994, ""glutamatergic neuron"": 49667, ""inhibitory interneuron"": 12844, ""microglial cell"": 3511, ""oligodendrocyte"": 29680, ""oligodendrocyte precursor cell"": 9253, ""pericyte"": 557}"
Homo sapiens,Brodmann (1909) area 4,10x 3' v3,"{""GABAergic neuron"": 1402, ""astrocyte"": 1581, ""capillary endothelial cell"": 1034, ""central nervous system macrophage"": 10, ""cerebellar granule cell"": 382, ""committed oligodendrocyte precursor"": 132, ""endothelial cell of artery"": 504, ""ependymal cell"": 11, ""glutamatergic neuron"": 2852, ""leukocyte"": 30, ""microglial cell"": 1090, ""mural cell"": 964, ""neuron"": 50, ""oligodendrocyte"": 7914, ""oligodendrocyte precursor cell"": 1710, ""vascular associated smooth muscle cell"": 134}"
Homo sapiens,Brodmann (1909) area 46,mCT-seq,"{""L2/3 intratelencephalic projecting glutamatergic neuron"": 10664, ""L3 intratelencephalic projecting glutamatergic neuron"": 912, ""L4/5 intratelencephalic projecting glutamatergic neuron"": 7153, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 63, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 941, ""L6 intratelencephalic projecting glutamatergic neuron"": 1985, ""L6b glutamatergic cortical neuron"": 832, ""VIP GABAergic cortical interneuron"": 3899, ""astrocyte"": 678, ""lamp5 GABAergic cortical interneuron"": 2138, ""microglial cell"": 189, ""near-projecting glutamatergic cortical neuron"": 697, ""oligodendrocyte"": 780, ""pvalb GABAergic cortical interneuron"": 2534, ""sst GABAergic cortical interneuron"": 3656}"
Homo sapiens,Brodmann (1909) area 7,10x 3' v3,"{""GABAergic neuron"": 20720, ""astrocyte"": 1315, ""blood vessel endothelial cell"": 11, ""glutamatergic neuron"": 72320, ""microglial cell"": 654, ""oligodendrocyte"": 4768, ""oligodendrocyte precursor cell"": 786}"
Homo sapiens,Brodmann (1909) area 7,Drop-seq,"{""GABAergic neuron"": 5982, ""astrocyte"": 680, ""blood vessel endothelial cell"": 4, ""glutamatergic neuron"": 26220, ""microglial cell"": 159, ""oligodendrocyte"": 911, ""oligodendrocyte precursor cell"": 179}"
Homo sapiens,Brodmann (1909) area 9,10x 3' v2,"{""GABAergic neuron"": 24462, ""astrocyte"": 2417, ""blood vessel endothelial cell"": 28, ""glutamatergic neuron"": 76356, ""microglial cell"": 773, ""oligodendrocyte"": 6919, ""oligodendrocyte precursor cell"": 1327}"
Homo sapiens,Brodmann (1909) area 9,10x 3' v3,"{""GABAergic neuron"": 63406, ""astrocyte"": 6095, ""blood vessel endothelial cell"": 92, ""glutamatergic neuron"": 185980, ""microglial cell"": 2734, ""oligodendrocyte"": 17674, ""oligodendrocyte precursor cell"": 2111}"
Homo sapiens,Brodmann (1909) area 9,10x multiome,"{""Cajal-Retzius cell"": 88, ""GABAergic neuron"": 27, ""L2/3 intratelencephalic projecting glutamatergic neuron"": 2972, ""L4 intratelencephalic projecting glutamatergic neuron"": 3467, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 29, ""L5 intratelencephalic projecting glutamatergic neuron"": 1897, ""L6 intratelencephalic projecting glutamatergic neuron"": 811, ""L6b glutamatergic cortical neuron"": 348, ""VIP GABAergic cortical interneuron"": 1083, ""astrocyte"": 1370, ""brain vascular cell"": 511, ""caudal ganglionic eminence derived cortical interneuron"": 273, ""committed oligodendrocyte precursor"": 206, ""corticothalamic-projecting glutamatergic cortical neuron"": 273, ""forebrain radial glial cell"": 42, ""glutamatergic neuron"": 190, ""immature astrocyte"": 345, ""intratelencephalic-projecting glutamatergic cortical neuron"": 646, ""lamp5 GABAergic cortical interneuron"": 924, ""medial ganglionic eminence derived GABAergic cortical interneuron"": 45, ""microglial cell"": 2482, ""near-projecting glutamatergic cortical neuron"": 222, ""neural progenitor cell"": 40, ""oligodendrocyte"": 10314, ""oligodendrocyte precursor cell"": 3641, ""pvalb GABAergic cortical interneuron"": 1972, ""sncg GABAergic cortical interneuron"": 416, ""sst GABAergic cortical interneuron"": 2168, ""unknown"": 371}"
Homo sapiens,Brodmann (1909) area 9,Drop-seq,"{""GABAergic neuron"": 28890, ""astrocyte"": 2423, ""blood vessel endothelial cell"": 28, ""glutamatergic neuron"": 101944, ""microglial cell"": 415, ""oligodendrocyte"": 3671, ""oligodendrocyte precursor cell"": 804}"
Homo sapiens,abdomen,10x 3' v3,"{""B cell"": 1818, ""Schwann cell"": 7776, ""T cell"": 19113, ""cortical cell of adrenal gland"": 341, ""dendritic cell"": 835, ""endothelial cell"": 7622, ""fallopian tube secretory epithelial cell"": 18141, ""fibroblast"": 31764, ""hepatocyte"": 650, ""kidney cell"": 2951, ""macrophage"": 16521, ""mast cell"": 52, ""monocyte"": 22116, ""neuroblast (sensu Vertebrata)"": 229949, ""plasma cell"": 298}"
