organism,organ,assay,cell_type_counts
Mus musculus,kidney,DroNc-seq,"{""endothelial cell"": 113, ""epithelial cell of proximal tubule"": 1289, ""fibroblast"": 7, ""kidney collecting duct principal cell"": 50, ""kidney connecting tubule epithelial cell"": 140, ""kidney distal convoluted tubule epithelial cell"": 156, ""kidney loop of Henle epithelial cell"": 2, ""kidney loop of Henle thin ascending limb epithelial cell"": 293, ""kidney loop of Henle thin descending limb epithelial cell"": 92, ""macrophage"": 54, ""mesangial cell"": 146, ""podocyte"": 88, ""renal alpha-intercalated cell"": 61, ""renal beta-intercalated cell"": 94, ""unknown"": 183}"
Mus musculus,kidney,Drop-seq,"{""T cell"": 1, ""endothelial cell"": 211, ""epithelial cell of proximal tubule"": 9468, ""fibroblast"": 5, ""glomerular endothelial cell"": 17, ""kidney collecting duct principal cell"": 256, ""kidney connecting tubule epithelial cell"": 450, ""kidney cortex tubule cell"": 8, ""kidney distal convoluted tubule epithelial cell"": 691, ""kidney glomerular epithelial cell"": 1, ""kidney loop of Henle cortical thick ascending limb epithelial cell"": 43, ""kidney loop of Henle epithelial cell"": 2, ""kidney loop of Henle medullary thick ascending limb epithelial cell"": 37, ""kidney loop of Henle thin ascending limb epithelial cell"": 418, ""kidney loop of Henle thin descending limb epithelial cell"": 73, ""macrophage"": 82, ""mesangial cell"": 154, ""pericyte"": 7, ""podocyte"": 69, ""renal alpha-intercalated cell"": 104, ""renal beta-intercalated cell"": 161, ""unknown"": 147}"
Mus musculus,kidney,Smart-seq2,"{""B cell"": 252, ""T cell"": 237, ""epithelial cell of proximal tubule"": 1179, ""fenestrated endothelial cell"": 804, ""kidney collecting duct epithelial cell"": 1335, ""kidney collecting duct principal cell"": 471, ""kidney interstitial fibroblast"": 48, ""kidney loop of Henle ascending limb epithelial cell"": 438, ""macrophage"": 456, ""mesangial cell"": 279}"
Mus musculus,lamina propria of small intestine,10x 5' v2,"{""CD103-positive dendritic cell"": 370, ""CD4-positive, alpha-beta memory T cell"": 162, ""IgM plasmablast"": 46, ""T-helper 17 cell"": 8, ""conventional dendritic cell"": 76, ""endothelial cell"": 126, ""endothelial cell of lymphatic vessel"": 18, ""epithelial cell"": 8, ""fibroblast"": 446, ""gamma-delta T cell"": 76, ""glial cell"": 10, ""group 2 innate lymphoid cell"": 88, ""group 3 innate lymphoid cell"": 10, ""macrophage"": 878, ""mast cell"": 7, ""memory B cell"": 2, ""monocyte"": 120, ""myofibroblast cell"": 54, ""neutrophil"": 5, ""pericyte"": 21, ""plasma cell"": 1066, ""regulatory T cell"": 382}"
Mus musculus,large intestine,10x 3' v2,"{""enterocyte of epithelium of large intestine"": 3375, ""epithelial cell of large intestine"": 687, ""hematopoietic stem cell"": 108, ""intestinal crypt stem cell"": 1017, ""large intestine goblet cell"": 474}"
Mus musculus,large intestine,Smart-seq2,"{""enterocyte of epithelium of large intestine"": 7626, ""enteroendocrine cell"": 483, ""epithelial cell of large intestine"": 5112, ""intestinal crypt stem cell"": 4737, ""large intestine goblet cell"": 4761, ""secretory cell"": 1689, ""tuft cell of large intestine"": 525}"
Mus musculus,lateral entorhinal cortex,Smart-seq v4,"{""L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 111, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 466, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 30, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 110, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 3, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 77, ""L6b glutamatergic cortical neuron"": 305, ""VIP GABAergic cortical interneuron"": 113, ""astrocyte"": 49, ""central nervous system macrophage"": 7, ""cortical interneuron"": 1, ""corticothalamic-projecting glutamatergic cortical neuron"": 14, ""glutamatergic neuron"": 1, ""lamp5 GABAergic cortical interneuron"": 70, ""pvalb GABAergic cortical interneuron"": 86, ""pyramidal neuron"": 2, ""sncg GABAergic cortical interneuron"": 63, ""sst GABAergic cortical interneuron"": 79, ""sst chodl GABAergic cortical interneuron"": 7}"
Mus musculus,lateral visual area,10x 3' v2,"{""Cajal-Retzius cell"": 3, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 2635, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 7412, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 259, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 491, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 2070, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 1953, ""L6b glutamatergic cortical neuron"": 224, ""VIP GABAergic cortical interneuron"": 1097, ""astrocyte"": 38, ""central nervous system macrophage"": 17, ""corticothalamic-projecting glutamatergic cortical neuron"": 439, ""endothelial cell"": 5, ""lamp5 GABAergic cortical interneuron"": 619, ""oligodendrocyte"": 151, ""pericyte"": 4, ""pvalb GABAergic cortical interneuron"": 487, ""sncg GABAergic cortical interneuron"": 204, ""sst GABAergic cortical interneuron"": 676, ""sst chodl GABAergic cortical interneuron"": 29, ""vascular leptomeningeal cell (Mmus)"": 1}"
Mus musculus,limb muscle,10x 3' v2,"{""B cell"": 4533, ""Schwann cell"": 822, ""T cell"": 3762, ""cell of skeletal muscle"": 576, ""endothelial cell"": 20682, ""macrophage"": 7455, ""mesenchymal stem cell"": 39111, ""skeletal muscle satellite cell"": 6165, ""smooth muscle cell"": 3495}"
Mus musculus,limb muscle,Smart-seq2,"{""B cell"": 561, ""T cell"": 408, ""endothelial cell"": 1359, ""macrophage"": 933, ""mesenchymal stem cell"": 2805, ""skeletal muscle satellite cell"": 5499}"
Mus musculus,liver,10x 3' v2,"{""B cell"": 609, ""Kupffer cell"": 7638, ""duct epithelial cell"": 6, ""endothelial cell of hepatic sinusoid"": 2025, ""hepatic stellate cell"": 117, ""hepatocyte"": 8787, ""myeloid leukocyte"": 921, ""natural killer cell"": 1656, ""plasmacytoid dendritic cell"": 123}"
Mus musculus,liver,10x 3' v3,"{""B cell"": 273, ""Kupffer cell"": 853, ""T cell"": 626, ""endothelial cell"": 2435, ""granulocyte"": 44, ""hepatic stellate cell"": 403, ""hepatocyte"": 11152, ""monocyte"": 221, ""natural killer cell"": 128, ""unknown"": 66}"
Mus musculus,liver,Smart-seq2,"{""B cell"": 630, ""CD4-positive, alpha-beta T cell"": 126, ""CD8-positive, alpha-beta T cell"": 192, ""Kupffer cell"": 786, ""T cell"": 135, ""endothelial cell of hepatic sinusoid"": 1851, ""hepatocyte"": 3486, ""mature NK T cell"": 528, ""myeloid leukocyte"": 627, ""natural killer cell"": 126, ""neutrophil"": 90}"
Mus musculus,lung,10x 3' v2,"{""B cell"": 4503, ""CD4-positive, alpha-beta T cell"": 1653, ""CD8-positive, alpha-beta T cell"": 2610, ""T cell"": 753, ""adventitial cell"": 1578, ""alveolar macrophage"": 4098, ""aortic smooth muscle cell"": 4631, ""basophil"": 390, ""bronchial smooth muscle cell"": 7017, ""capillary endothelial cell"": 15099, ""classical monocyte"": 23766, ""club cell"": 978, ""dendritic cell"": 135, ""endothelial cell of artery"": 6538, ""endothelial cell of lymphatic vessel"": 706, ""enucleate erythrocyte"": 928, ""fibroblast of lung"": 4569, ""hematopoietic cell"": 1241, ""intermediate monocyte"": 5247, ""lung macrophage"": 3471, ""mature NK T cell"": 1260, ""mesenchymal cell"": 2088, ""mesenchymal stem cell"": 16928, ""mesothelial cell of visceral pleura"": 699, ""multiciliated columnar cell of tracheobronchial tree"": 171, ""multiciliated epithelial cell of the bronchus"": 77, ""myeloid dendritic cell"": 735, ""natural killer cell"": 3579, ""neutrophil"": 1656, ""non-classical monocyte"": 3030, ""pericyte"": 183, ""plasma cell"": 147, ""plasmacytoid dendritic cell"": 225, ""progenitor cell"": 4351, ""pulmonary alveolar type 1 cell"": 3427, ""pulmonary alveolar type 2 cell"": 3986, ""pulmonary interstitial fibroblast"": 666, ""pulmonary neuroendocrine cell"": 12, ""regulatory T cell"": 369, ""smooth muscle cell of the pulmonary artery"": 294, ""unknown"": 4183, ""vascular associated smooth muscle cell"": 1196, ""vein endothelial cell"": 2241}"
Mus musculus,lung,Smart-seq2,"{""B cell"": 828, ""CD4-positive, alpha-beta T cell"": 177, ""CD8-positive, alpha-beta T cell"": 357, ""T cell"": 84, ""adventitial cell"": 867, ""bronchial smooth muscle cell"": 6351, ""classical monocyte"": 606, ""club cell"": 66, ""dendritic cell"": 186, ""endothelial cell of lymphatic vessel"": 297, ""fibroblast of lung"": 1449, ""intermediate monocyte"": 36, ""leukocyte"": 114, ""lung macrophage"": 27, ""lymphocyte"": 30, ""mature NK T cell"": 18, ""multiciliated columnar cell of tracheobronchial tree"": 156, ""myeloid dendritic cell"": 1119, ""natural killer cell"": 156, ""neutrophil"": 369, ""non-classical monocyte"": 447, ""pericyte"": 114, ""plasma cell"": 75, ""plasmacytoid dendritic cell"": 18, ""pulmonary alveolar type 1 cell"": 12, ""pulmonary alveolar type 2 cell"": 501, ""pulmonary interstitial fibroblast"": 150, ""pulmonary neuroendocrine cell"": 12, ""regulatory T cell"": 141, ""respiratory basal cell"": 102, ""smooth muscle cell of the pulmonary artery"": 333, ""vein endothelial cell"": 456}"
Mus musculus,mammary gland,10x 3' v2,"{""B cell"": 6437, ""CD4-positive, CD25-positive, alpha-beta regulatory T cell"": 1855, ""CD4-positive, alpha-beta T cell"": 1660, ""CD8-positive, alpha-beta T cell"": 5948, ""Schwann cell"": 230, ""T cell"": 9660, ""basal cell"": 4761, ""basal-myoepithelial cell of mammary gland"": 19734, ""blood vessel endothelial cell"": 1602, ""conventional dendritic cell"": 609, ""cycling T cell"": 487, ""endothelial cell"": 1953, ""fibroblast of mammary gland"": 25132, ""innate lymphoid cell"": 1688, ""lactocyte"": 6932, ""luminal adaptive secretory precursor cell of mammary gland"": 6033, ""luminal epithelial cell of mammary gland"": 5709, ""luminal hormone-sensing cell of mammary gland"": 9659, ""macrophage"": 5118, ""mammary gland epithelial cell"": 3072, ""mast cell"": 24, ""migratory dendtritic cell"": 115, ""myeloid leukocyte"": 436, ""natural killer cell"": 1353, ""neutrophil"": 267, ""pericyte"": 265, ""perivascular cell"": 2272, ""plasma cell"": 282, ""plasmacytoid dendritic cell"": 29, ""stromal cell"": 8349}"
Mus musculus,mammary gland,10x 3' v3,"{""B cell"": 1568, ""CD4-positive, CD25-positive, alpha-beta regulatory T cell"": 1461, ""CD4-positive, alpha-beta T cell"": 1620, ""CD8-positive, alpha-beta T cell"": 2636, ""Schwann cell"": 594, ""basal-myoepithelial cell of mammary gland"": 17478, ""blood vessel endothelial cell"": 2637, ""conventional dendritic cell"": 1198, ""cycling T cell"": 739, ""fibroblast of mammary gland"": 65295, ""innate lymphoid cell"": 1166, ""lactocyte"": 3414, ""luminal adaptive secretory precursor cell of mammary gland"": 3919, ""luminal hormone-sensing cell of mammary gland"": 13982, ""macrophage"": 4589, ""mast cell"": 241, ""migratory dendtritic cell"": 73, ""myeloid leukocyte"": 836, ""natural killer cell"": 3112, ""neutrophil"": 145, ""perivascular cell"": 1219, ""plasma cell"": 174, ""plasmacytoid dendritic cell"": 24}"
Mus musculus,mammary gland,Smart-seq2,"{""basal cell"": 6417, ""endothelial cell"": 105, ""luminal epithelial cell of mammary gland"": 2304, ""stromal cell"": 1020}"
Mus musculus,medial entorhinal cortex,Smart-seq v4,"{""L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 477, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 200, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 26, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 24, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 2, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 9, ""L6b glutamatergic cortical neuron"": 372, ""VIP GABAergic cortical interneuron"": 77, ""cortical interneuron"": 3, ""lamp5 GABAergic cortical interneuron"": 97, ""pvalb GABAergic cortical interneuron"": 95, ""sncg GABAergic cortical interneuron"": 50, ""sst GABAergic cortical interneuron"": 131, ""sst chodl GABAergic cortical interneuron"": 1}"
Mus musculus,medial orbital frontal cortex,10x 3' v2,"{""Cajal-Retzius cell"": 29, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 7375, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 13947, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 3935, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 3320, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 17783, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 9062, ""L6b glutamatergic cortical neuron"": 1289, ""VIP GABAergic cortical interneuron"": 2788, ""astrocyte"": 301, ""central nervous system macrophage"": 69, ""corticothalamic-projecting glutamatergic cortical neuron"": 359, ""endothelial cell"": 60, ""lamp5 GABAergic cortical interneuron"": 2079, ""meis2 expressing cortical GABAergic cell"": 12, ""oligodendrocyte"": 863, ""pericyte"": 19, ""pvalb GABAergic cortical interneuron"": 2081, ""sncg GABAergic cortical interneuron"": 1158, ""sst GABAergic cortical interneuron"": 4270, ""sst chodl GABAergic cortical interneuron"": 216, ""vascular leptomeningeal cell (Mmus)"": 2}"
Mus musculus,medial orbital frontal cortex,Smart-seq v4,"{""Cajal-Retzius cell"": 2, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 341, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 395, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 32, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 26, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 107, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 106, ""L6b glutamatergic cortical neuron"": 8, ""VIP GABAergic cortical interneuron"": 112, ""astrocyte"": 45, ""central nervous system macrophage"": 2, ""corticothalamic-projecting glutamatergic cortical neuron"": 2, ""lamp5 GABAergic cortical interneuron"": 56, ""meis2 expressing cortical GABAergic cell"": 67, ""oligodendrocyte"": 1, ""pvalb GABAergic cortical interneuron"": 23, ""sncg GABAergic cortical interneuron"": 26, ""sst GABAergic cortical interneuron"": 81, ""sst chodl GABAergic cortical interneuron"": 5}"
Mus musculus,meningeal dura mater,10x 3' v2,"{""B cell"": 3, ""endothelial cell"": 471, ""macrophage"": 11, ""mast cell"": 6, ""plasma cell"": 24, ""stromal cell"": 245}"
Mus musculus,meningeal dura mater,10x 3' v3,"{""B cell"": 2724, ""CD4-positive, alpha-beta T cell"": 786, ""CD8-positive, alpha-beta T cell"": 1577, ""conventional dendritic cell"": 920, ""endothelial cell"": 1786, ""eosinophil"": 2, ""innate lymphoid cell"": 1258, ""macrophage"": 4180, ""mast cell"": 72, ""monocyte"": 969, ""natural killer cell"": 391, ""neuron"": 11, ""neutrophil"": 2246, ""plasma cell"": 219, ""plasmacytoid dendritic cell"": 1, ""stromal cell"": 4750}"
Mus musculus,mesenteric fat pad,Smart-seq2,"{""B cell"": 1110, ""CD4-positive, alpha-beta T cell"": 525, ""CD8-positive, alpha-beta T cell"": 627, ""T cell"": 195, ""endothelial cell"": 759, ""epithelial cell"": 156, ""macrophage"": 684, ""mesenchymal stem cell of adipose tissue"": 4188, ""myeloid cell"": 663, ""natural killer cell"": 135}"
Mus musculus,mesenteric lymph node,10x 5' v2,"{""B cell zone reticular cell"": 134, ""CD103-positive dendritic cell"": 12, ""CD4-positive, alpha-beta memory T cell"": 20, ""CD8-alpha-positive CD11b-negative dendritic cell"": 582, ""IgM plasmablast"": 266, ""T-helper 17 cell"": 120, ""capillary endothelial cell"": 59, ""conventional dendritic cell"": 1678, ""dendritic cell"": 188, ""endothelial cell"": 25, ""endothelial cell of lymphatic vessel"": 1, ""epithelial cell"": 7, ""fibroblast"": 123, ""gamma-delta T cell"": 138, ""germinal center B cell"": 288, ""group 2 innate lymphoid cell"": 4, ""group 3 innate lymphoid cell"": 140, ""macrophage"": 108, ""mast cell"": 1, ""memory B cell"": 304, ""monocyte"": 308, ""naive B cell"": 974, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 510, ""naive thymus-derived CD8-positive, alpha-beta T cell"": 380, ""neutrophil"": 66, ""pericyte"": 6, ""plasma cell"": 1330, ""plasmacytoid dendritic cell"": 296, ""regulatory T cell"": 386}"
Mus musculus,mesoderm,10x 3' v2,"{""female germ cell"": 23, ""male germ cell"": 12, ""oogonial cell"": 99, ""primordial germ cell"": 5}"
Mus musculus,mesonephros,10x 5' v1,"{""endothelial cell"": 418, ""epithelial cell"": 3055, ""erythrocyte"": 164, ""germ cell"": 2, ""granulosa cell"": 460, ""hematopoietic cell"": 101, ""interstitial cell of ovary"": 58, ""mesenchymal cell"": 8050, ""mesothelial cell"": 6764, ""mural cell"": 1, ""neural cell"": 268, ""primordial germ cell"": 16, ""skeletal muscle fiber"": 516, ""supporting cell"": 90}"
Mus musculus,middle lobe of right lung,10x 3' v3,"{""B cell"": 2523, ""T cell"": 3611, ""adventitial fibroblast"": 6160, ""alveolar adventitial fibroblast"": 2796, ""alveolar capillary type 1 endothelial cell"": 46217, ""alveolar capillary type 2 endothelial cell"": 4816, ""alveolar macrophage"": 4167, ""alveolar type 1 fibroblast cell"": 21964, ""ciliated cell"": 1915, ""classical monocyte"": 2299, ""conventional dendritic cell"": 1080, ""endothelial cell of artery"": 1687, ""endothelial cell of respiratory system lymphatic vessel"": 2019, ""fibroblast of lung"": 1111, ""lung interstitial macrophage"": 890, ""mature conventional dendritic cell"": 134, ""mesothelial cell of pleura"": 1053, ""natural killer cell"": 571, ""neutrophil"": 1500, ""non-classical monocyte"": 815, ""plasma cell"": 643, ""pulmonary alveolar epithelial cell"": 545, ""pulmonary alveolar type 1 cell"": 2325, ""pulmonary alveolar type 2 cell"": 6516, ""secretory cell"": 1115, ""vascular associated smooth muscle cell"": 1241, ""vein endothelial cell"": 3441}"
Mus musculus,optic cup,10x 3' v2,"{""endothelial cell"": 146}"
Mus musculus,outer medulla of kidney,Drop-seq,"{""endothelial cell"": 34, ""epithelial cell of proximal tubule"": 1875, ""fibroblast"": 1, ""glomerular endothelial cell"": 8, ""kidney collecting duct principal cell"": 187, ""kidney connecting tubule epithelial cell"": 25, ""kidney cortex tubule cell"": 1, ""kidney distal convoluted tubule epithelial cell"": 140, ""kidney loop of Henle cortical thick ascending limb epithelial cell"": 27, ""kidney loop of Henle epithelial cell"": 21, ""kidney loop of Henle medullary thick ascending limb epithelial cell"": 182, ""kidney loop of Henle thin ascending limb epithelial cell"": 42, ""macrophage"": 18, ""pericyte"": 7, ""podocyte"": 12, ""renal alpha-intercalated cell"": 34, ""renal beta-intercalated cell"": 17, ""unknown"": 64}"
Mus musculus,ovary,10x 3' v2,"{""female germ cell"": 1936, ""male germ cell"": 39, ""oocyte"": 206, ""oogonial cell"": 3910, ""primordial germ cell"": 123}"
Mus musculus,ovary,10x 3' v3,"{""B cell"": 404, ""CD4-positive, alpha-beta T cell"": 114, ""T cell"": 728, ""T-helper 17 cell"": 87, ""connective tissue cell"": 1637, ""dendritic cell"": 127, ""endothelial cell"": 798, ""endothelial cell of lymphatic vessel"": 106, ""endothelial cell of vascular tree"": 433, ""epithelial cell"": 792, ""female germ cell"": 13, ""granulosa cell"": 9593, ""innate lymphoid cell"": 44, ""leukocyte"": 51, ""luteal cell"": 413, ""lymphocyte"": 316, ""macrophage"": 355, ""monocyte"": 27, ""myeloid leukocyte"": 106, ""natural killer cell"": 169, ""oocyte"": 450, ""oogonial cell"": 776, ""pericyte"": 404, ""phagocyte"": 1099, ""pre-theca cell"": 876, ""smooth muscle cell"": 335, ""stromal cell"": 5671, ""theca cell"": 3132, ""unknown"": 431}"
Mus musculus,oviduct,10x 3' v2,"{""endothelial cell"": 78, ""fallopian tube multiciliated epithelial cell"": 1272, ""fallopian tube secretory epithelial cell"": 2972, ""fibroblast"": 683, ""lymphocyte"": 17, ""macrophage"": 189, ""smooth muscle cell"": 229}"
Mus musculus,pancreas,10x 3' v2,"{""Schwann cell"": 1, ""cell"": 2, ""endothelial cell"": 325, ""hematopoietic cell"": 439, ""leukocyte"": 540, ""pancreatic A cell"": 962, ""pancreatic D cell"": 928, ""pancreatic PP cell"": 477, ""pancreatic acinar cell"": 6423, ""pancreatic ductal cell"": 1017, ""pancreatic endocrine cell"": 49, ""pancreatic stellate cell"": 264, ""type B pancreatic cell"": 8056, ""unknown"": 36681}"
Mus musculus,pancreas,10x 3' v3,"{""B cell"": 32, ""Schwann cell"": 124, ""T cell"": 13, ""endothelial cell"": 1549, ""exocrine cell"": 309, ""hepatic stellate cell"": 384, ""macrophage"": 485, ""pancreatic A cell"": 4122, ""pancreatic D cell"": 2698, ""pancreatic PP cell"": 995, ""type B pancreatic cell"": 21129, ""unknown"": 227}"
Mus musculus,pancreas,Smart-seq2,"{""endothelial cell"": 606, ""leukocyte"": 360, ""pancreatic A cell"": 1563, ""pancreatic D cell"": 573, ""pancreatic PP cell"": 213, ""pancreatic acinar cell"": 1728, ""pancreatic ductal cell"": 939, ""pancreatic stellate cell"": 144, ""type B pancreatic cell"": 4026}"
Mus musculus,parietal cortex,10x 3' v2,"{""Cajal-Retzius cell"": 1, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 6515, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 16687, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 671, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 1669, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 7036, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 3424, ""L6b glutamatergic cortical neuron"": 496, ""VIP GABAergic cortical interneuron"": 1384, ""astrocyte"": 275, ""central nervous system macrophage"": 44, ""corticothalamic-projecting glutamatergic cortical neuron"": 3167, ""endothelial cell"": 64, ""lamp5 GABAergic cortical interneuron"": 1456, ""oligodendrocyte"": 754, ""pericyte"": 17, ""pvalb GABAergic cortical interneuron"": 1267, ""sncg GABAergic cortical interneuron"": 352, ""sst GABAergic cortical interneuron"": 1690, ""sst chodl GABAergic cortical interneuron"": 100, ""vascular leptomeningeal cell (Mmus)"": 25}"
Mus musculus,periovarian fat pad,10x 3' v3,"{""B cell"": 810, ""T cell"": 480, ""adipocyte"": 20786, ""dendritic cell"": 444, ""endothelial cell"": 1656, ""endothelial cell of lymphatic vessel"": 442, ""macrophage"": 7170, ""mammary gland epithelial cell"": 114, ""mast cell"": 4, ""mature NK T cell"": 194, ""mesothelial cell"": 16810, ""monocyte"": 1762, ""neutrophil"": 6, ""pericyte"": 128, ""preadipocyte"": 18354, ""smooth muscle cell"": 104}"
Mus musculus,peripheral lymph node,10x 3' v2,"{""endothelial cell of lymphatic vessel"": 5625}"
Mus musculus,posterior parietal association areas,10x 3' v2,"{""Cajal-Retzius cell"": 1, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 4613, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 12562, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 321, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 732, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 2924, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 2145, ""L6b glutamatergic cortical neuron"": 228, ""VIP GABAergic cortical interneuron"": 983, ""astrocyte"": 42, ""central nervous system macrophage"": 8, ""corticothalamic-projecting glutamatergic cortical neuron"": 183, ""endothelial cell"": 15, ""lamp5 GABAergic cortical interneuron"": 741, ""oligodendrocyte"": 183, ""pericyte"": 3, ""pvalb GABAergic cortical interneuron"": 508, ""sncg GABAergic cortical interneuron"": 176, ""sst GABAergic cortical interneuron"": 925, ""sst chodl GABAergic cortical interneuron"": 37, ""vascular leptomeningeal cell (Mmus)"": 3}"
Mus musculus,posterior parietal association areas,Smart-seq v4,"{""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 218, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 467, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 19, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 28, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 126, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 123, ""L6b glutamatergic cortical neuron"": 5, ""VIP GABAergic cortical interneuron"": 191, ""astrocyte"": 27, ""central nervous system macrophage"": 3, ""corticothalamic-projecting glutamatergic cortical neuron"": 9, ""lamp5 GABAergic cortical interneuron"": 105, ""meis2 expressing cortical GABAergic cell"": 2, ""oligodendrocyte"": 7, ""pvalb GABAergic cortical interneuron"": 62, ""sncg GABAergic cortical interneuron"": 16, ""sst GABAergic cortical interneuron"": 131, ""sst chodl GABAergic cortical interneuron"": 1}"
Mus musculus,prefrontal cortex,Smart-seq v4,"{""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 202, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 302, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 62, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 104, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 183, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 98, ""L6b glutamatergic cortical neuron"": 11, ""VIP GABAergic cortical interneuron"": 133, ""astrocyte"": 17, ""central nervous system macrophage"": 1, ""lamp5 GABAergic cortical interneuron"": 66, ""meis2 expressing cortical GABAergic cell"": 1, ""oligodendrocyte"": 2, ""pvalb GABAergic cortical interneuron"": 76, ""sncg GABAergic cortical interneuron"": 56, ""sst GABAergic cortical interneuron"": 150, ""sst chodl GABAergic cortical interneuron"": 8}"
Mus musculus,primary motor cortex,10x 3' v2,"{""Cajal-Retzius cell"": 12, ""GABAergic neuron"": 82759, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 12242, ""L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 44630, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 495, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 4092, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 23374, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 7149, ""L6b glutamatergic cortical neuron"": 2533, ""VIP GABAergic cortical interneuron"": 7144, ""astrocyte"": 1318, ""central nervous system macrophage"": 111, ""corticothalamic-projecting glutamatergic cortical neuron"": 627, ""endothelial cell"": 388, ""glutamatergic neuron"": 281543, ""lamp5 GABAergic cortical interneuron"": 5981, ""macrophage"": 208, ""oligodendrocyte"": 1298, ""oligodendrocyte precursor cell"": 246, ""pericyte"": 26, ""pvalb GABAergic cortical interneuron"": 4777, ""sncg GABAergic cortical interneuron"": 2284, ""sst GABAergic cortical interneuron"": 6831, ""sst chodl GABAergic cortical interneuron"": 356, ""vascular leptomeningeal cell (Mmus)"": 8}"
Mus musculus,primary motor cortex,10x 3' v3,"{""GABAergic neuron"": 69965, ""astrocyte"": 37339, ""endothelial cell"": 7258, ""glutamatergic neuron"": 369686, ""leptomeningeal cell"": 5944, ""macrophage"": 16608, ""microglial cell"": 447, ""oligodendrocyte"": 43430, ""oligodendrocyte precursor cell"": 10134, ""pericyte"": 3300, ""smooth muscle cell"": 71, ""unknown"": 228}"
