organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",renal cortex interstitium,none,16
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",renal pelvis,none,16
Homo sapiens,siRNA RNA-seq,cell line,"Michael Snyder, Stanford",K562,none,16
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",muscle of leg,none,16
Homo sapiens,ChIA-PET,cell line,Charles Lee,HCT116,POLR2A,15
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",gastrocnemius,none,15
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",thymus,none,15
Homo sapiens,Control ChIP-seq,cell line,"Xiang-Dong Fu, UCSD",HepG2,none,15
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",muscle of back,none,15
Drosophila melanogaster,PAS-seq,whole organisms,"Susan Celniker, LBNL",whole organism,none,15
Drosophila melanogaster,CAGE,whole organisms,"Susan Celniker, LBNL",whole organism,none,15
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",pancreas,none,15
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","common myeloid progenitor, CD34-positive",none,15
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",large intestine,none,15
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",heart left ventricle,none,15
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",WTC11,none,14
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",heart right ventricle,none,14
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K27me3,14
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",right cerebral cortex,none,14
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K36me3,14
Mus musculus,long read RNA-seq,tissue,"Ali Mortazavi, UCI",gastrocnemius,none,14
Caenorhabditis elegans,total RNA-seq,whole organisms,"Robert Waterston, UW",whole organism,none,14
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",spleen,none,14
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",T-helper 1 cell,none,14
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",small intestine,none,14
