organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,RRBS,cell line,"Richard Myers, HAIB",HTR-8/SVneo,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HCT116,TEAD4,1
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",AG04449,none,1
Homo sapiens,WGBS,tissue,"Bradley Bernstein, Broad",heart,none,1
Homo sapiens,RRBS,cell line,"Richard Myers, HAIB",SK-N-MC,none,1
Homo sapiens,RRBS,tissue,"Richard Myers, HAIB",adrenal gland,none,1
Homo sapiens,RNA microarray,cell line,"Gregory Crawford, Duke",iPSC,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,MAFK,1
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",small intestine,H3K27ac,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",Ishikawa,RAD21,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",K562,H3K27ac,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF112,1
Homo sapiens,Control ChIP-seq,primary cell,"John Stamatoyannopoulos, UW",astrocyte of the cerebellum,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZFP64,1
Mus musculus,TF ChIP-seq,cell line,"Michael Snyder, Stanford",CH12.LX,JUN,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",SK-N-SH,SMC3,1
Homo sapiens,DNase-seq,cell line,"Gregory Crawford, Duke",AG08470,none,1
Homo sapiens,TF ChIP-seq,cell line,"Peggy Farnham, USC",H1,ZNF274,1
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",cerebellum,H3K27ac,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",HUES48,H3K27me3,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",Panc1,H3K27ac,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",A549,PBX1,1
Homo sapiens,Control ChIP-seq,cell line,"John Stamatoyannopoulos, UW",GM12875,none,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,UPF1,1
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bing Ren, UCSD",neuronal stem cell,H3K23ac,1
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",endodermal cell,H3K4me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,THRB,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",iPS-11a,H3K4me3,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,NUPL2,1
Homo sapiens,Histone ChIP-seq,primary cell,"Joseph Costello, UCSF","naive thymus-derived CD4-positive, alpha-beta T cell",H3K36me3,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,N,1
Homo sapiens,microRNA-seq,primary cell,"Joseph Costello, UCSF","naive thymus-derived CD4-positive, alpha-beta T cell",none,1
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",jejunum,none,1
Homo sapiens,RRBS,cell line,"Bradley Bernstein, Broad",HUES64,none,1
Homo sapiens,in situ Hi-C,primary cell,"Job Dekker, UMass",brain microvascular endothelial cell,none,1
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",SW480,none,1
Homo sapiens,microRNA-seq,primary cell,"Joseph Costello, UCSF","CD4-positive, alpha-beta memory T cell",none,1
Homo sapiens,DNase-seq,in vitro differentiated cells,"John Stamatoyannopoulos, UW",mesendoderm,none,1
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",neuronal stem cell,H3K4me1,1
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",GM06990,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bing Ren, UCSD",H9,H2BK20ac,1
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",EH,none,1
Homo sapiens,microRNA-seq,cell line,"Ali Mortazavi, UCI",GM23248,none,1
Homo sapiens,DNase-seq,in vitro differentiated cells,"John Stamatoyannopoulos, UW",type B pancreatic cell,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bing Ren, UCSD",H9,H4K91ac,1
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",amnion,H3K27me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZMAT3,1
Homo sapiens,Histone ChIP-seq,tissue,"Bing Ren, UCSD",right cardiac atrium,H3K27me3,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,HNRNPF,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,METAP2,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",KMS-11,H3K4me2,1
Homo sapiens,TF ChIP-seq,cell line,"Kevin White, UChicago",K562,ZNF584,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,PNPT1,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,PUM2,1
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",brain,H3K4me1,1
Homo sapiens,MRE-seq,cell line,"Joseph Costello, UCSF",H1,none,1
Drosophila melanogaster,polyA plus RNA-seq,cell line,"Susan Celniker, LBNL",OSC,none,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,PKM,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,ACO1,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",GM23248,H3F3A,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,NFE2,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,DDX52,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,PSIP1,1
Homo sapiens,RRBS,cell line,"Bradley Bernstein, Broad",iPS-27e,none,1
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD8-positive, alpha-beta memory T cell",H3K9me3,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,NOL12,1
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",amnion,H3K4me3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",A549,SMC3,1
Homo sapiens,WGBS,primary cell,"Joseph Costello, UCSF",foreskin keratinocyte,none,1
Homo sapiens,long read RNA-seq,in vitro differentiated cells,"Ali Mortazavi, UCI",type B pancreatic cell,none,1
Homo sapiens,WGBS,primary cell,"Joseph Costello, UCSF",foreskin melanocyte,none,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,dpy-27,1
Homo sapiens,Histone ChIP-seq,primary cell,"Joseph Costello, UCSF",luminal epithelial cell of mammary gland,H3K4me1,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,RPS19,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,RFX7,1
Homo sapiens,long read RNA-seq,in vitro differentiated cells,"Ali Mortazavi, UCI",osteocyte,none,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,PUF60,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,KLF13,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,BCCIP,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CHES-1-like,1
Homo sapiens,total RNA-seq,cell line,"Barbara Wold, Caltech",IMR-90,none,1
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",ovary,none,1
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta T cell",H3K9me3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,NR2F1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,GATA3,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,SFPQ,1
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",smooth muscle cell,H3F3A,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,ZNF592,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,PHF6,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,alr-1,1
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",activated B cell,none,1
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",neural cell,H3K9me3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,NFIC,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CG12768,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,GLRX3,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",GM23338,H3K9me2,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF133,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,APOBEC3C,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF341,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CG4328,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,emc,1
Homo sapiens,TF ChIP-seq,cell line,"Xiang-Dong Fu, UCSD",K562,SRSF7,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,ARNT,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,TCF7,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293T,FOXA1,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,F37D6.2,1
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",prostate gland,H3K9me3,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,STAU1,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,BEAF-32,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,NFE2,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,PPIL4,1
Homo sapiens,microRNA counts,cell line,"Ali Mortazavi, UCI",GM23338,none,1
Homo sapiens,total RNA-seq,in vitro differentiated cells,"Barbara Wold, Caltech",osteocyte,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF337,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,HSPD1,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,MAK16,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CG4424,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,DDX20,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,RPS19,1
Homo sapiens,TF ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",hepatocyte,CTCF,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,PPP1R8,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF569,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,UCHL5,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,eyg-1,1
Homo sapiens,TF ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",type B pancreatic cell,CTCF,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,PPARG,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,BRCA2,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Camta,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,attf-4,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,RBM39,1
Homo sapiens,genotyping array,cell line,"Richard Myers, HAIB",SJCRH30,none,1
Homo sapiens,siRNA RNA-seq,cell line,"Michael Snyder, Stanford",K562,TBL1XR1,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Hsf,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,PUM2,1
Homo sapiens,Histone ChIP-seq,primary cell,"Michael Snyder, Stanford",brain microvascular endothelial cell,H3K36me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZKSCAN8,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,TBX21,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,ceh-13,1
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",upper lobe of right lung,none,1
Homo sapiens,siRNA RNA-seq,cell line,"Michael Snyder, Stanford",K562,MAX,1
Homo sapiens,WGBS,primary cell,"Bradley Bernstein, Broad",T-cell,none,1
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",mucosa of gallbladder,none,1
Homo sapiens,DNAme array,cell line,"Richard Myers, HAIB",Caki2,none,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,fd3F,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,MTA1,1
Homo sapiens,ChIA-PET,cell line,"Yijun Ruan, JAX",GM10248,CTCF,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,NIP7,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,SIX4,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,XRCC3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZFP37,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,MAZ,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,YBX1,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,SAFB2,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,SUPT6H,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CG12299,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,RBM15,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,HSPD1,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,EIF3A,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",GM23338,H3K9ac,1
Mus musculus,polyA plus RNA-seq,primary cell,"Christina Leslie, MSKCC","naive thymus-derived CD4-positive, alpha-beta T cell",none,1
Homo sapiens,microRNA-seq,in vitro differentiated cells,"Ali Mortazavi, UCI",neural crest cell,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,ETV5,1
Homo sapiens,DNAme array,in vitro differentiated cells,"Richard Myers, HAIB",bipolar neuron,none,1
Homo sapiens,DNAme array,cell line,"Richard Myers, HAIB",H4,none,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,AGGF1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,MLX,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF488,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,RHOXF2B,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CG31627,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,FMR1,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,fkh-2,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ATF1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF391,1
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",activated B cell,H3K4me1,1
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",GM12878,SUZ12,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,AARS,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Eip78C,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,SNIP1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF747,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",GM23338,H2AFZ,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF701,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF37A,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,TUFM,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,SRSF10,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,HDAC3,1
Homo sapiens,TF ChIP-seq,cell line,"Xiang-Dong Fu, UCSD",HepG2,SRSF3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293T,BHLHE40,1
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",activated B cell,H3K9me3,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,lab,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,THRA,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CG18599,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,STIP1,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,SLBP,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,DDX51,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,PRDM4,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,EIF2AK2,1
Homo sapiens,TF ChIP-seq,cell line,"Xiang-Dong Fu, UCSD",K562,PCBP2,1
Mus musculus,Histone ChIP-seq,primary cell,"Christina Leslie, MSKCC","activated CD4-positive, CD25-positive, alpha-beta regulatory T cell",H3K27me3,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,SRF,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF23,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,KPNB1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293T,PKNOX1,1
Homo sapiens,Control ChIP-seq,cell line,"Vishwanath Iyer, UTA",GM12891,none,1
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",hepatocyte,H3K9me2,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,CIRBP,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,SSRP1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,PKNOX1,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,MTPAP,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,cyc,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,mef-2,1
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",neural progenitor cell,H3K4me2,1
Mus musculus,Control ChIP-seq,tissue,"Richard Myers, HAIB",intestine,none,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Sry-δ,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,PAF1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",VCaP,CTCF,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,RBM22,1
Homo sapiens,Mint-ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",neural progenitor cell,H3K27me3,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,SRP68,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",K562,HNRNPM,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,DNAJC21,1
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",left ventricle myocardium superior,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,E4F1,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",ES-I3,H3K4me1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZBTB33,1
Homo sapiens,small RNA-seq,in vitro differentiated cells,"Thomas Gingeras, CSHL",smooth muscle cell,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,EP400,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",A549,HMGXB4,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,E2F8,1
Homo sapiens,TF ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",progenitor cell of endocrine pancreas,CTCF,1
Homo sapiens,in situ Hi-C,cell line,"Job Dekker, UMass",G401,none,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,HNRNPK,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",K562,UCHL5,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF169,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",HepG2,LARP7,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,ceh-62,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",GM23248,H3K27me3,1
Homo sapiens,in situ Hi-C,cell line,"Job Dekker, UMass",NCI-H460,none,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,SRP68,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,SRSF5,1
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",left lobe of liver,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF157,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF843,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,ZBTB8A,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",HepG2,TROVE2,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF138,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,odd-2,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,RBPJ,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",K562,SBDS,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF33B,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",K562,U2AF1,1
Homo sapiens,ChIA-PET,cell line,"Yijun Ruan, JAX",HepG2,CTCF,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",K562,YBX3,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",K562,SERBP1,1
Homo sapiens,in situ Hi-C,cell line,"Job Dekker, UMass",RPMI7951,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF438,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,PCBP1,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,MNX1,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,FUS,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF264,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF680,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,F23B12.7,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,MLLT1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,SUPT5H,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,nhr-25,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZBTB42,1
Homo sapiens,microRNA counts,tissue,"Ali Mortazavi, UCI",ovary,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF707,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,ZNF514,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,HNRNPL,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,E2F8,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,AKAP8,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,DDX27,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",K562,PUM2,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,AUH,1
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,PRR3,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,DDX19B,1
Homo sapiens,CRISPRi RNA-seq,cell line,"Michael Snyder, Stanford",K562,HDAC8,1
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,AKAP8L,1
Drosophila melanogaster,RIP-seq,cell line,"Brenton Graveley, UConn",S2R+,Hrb87F,1
Homo sapiens,eCLIP,cell line,"Gene Yeo, UCSD",K562,QKI,1
Homo sapiens,CRISPRi RNA-seq,cell line,"Michael Snyder, Stanford",K562,NR4A1,1
